"id","age_09","age_14","age_17","respect_09","respect_14","respect_17","influence_09","influence_14","influence_17","height_09","height_14","weight_09","weight_14","UBS_09","UBS_14","income_09","income_14"
"a2dx",NA,22,25,NA,33,11.4,NA,11.6666666666667,17.8,NA,167.3,NA,60.2,NA,NA,NA,NA
"abag",47,52,55,67,59.6666666666667,55.4,42,51.6666666666667,45.8,173.7,174.4,74.2,73.3,95.5,91.3,1280,1800
"acu0",NA,NA,23,NA,NA,26.6,NA,NA,20.2,NA,NA,NA,NA,NA,NA,NA,NA
"apis",22,27,NA,23,9,NA,16,43.6666666666667,NA,167,167,64.6,65.7,87,109.5,2980,800
"b2vm",22,NA,29,NA,NA,41,NA,NA,36.2,160.2,NA,58.6,NA,116.8,NA,2160,NA
"b7f3",43,NA,NA,54,NA,NA,62,NA,NA,159.1,NA,65.5,NA,80.8,NA,10710,NA
"btdf",28,NA,NA,19,NA,NA,21,NA,NA,160.2,NA,52.4,NA,79.1,NA,1050,NA
"bte4",NA,23,26,NA,25,19.4,NA,43.6666666666667,34.6,NA,161,NA,58.3,NA,NA,NA,1950
"c9ml",64,68,71,49,49,56.2,40,25,29.8,166.1,163.8,59.1,63.3,67.4,60.4,1165,0
"cmmv",48,53,56,37,38.3333333333333,39.4,36,30.3333333333333,22.6,153,NA,52.3,NA,62.2,NA,2420,2050
"cne0",39,NA,NA,56,NA,NA,68,NA,NA,173.4,NA,81.1,NA,79.7,NA,4935,NA
"d7g7",33,38,41,50,46.3333333333333,47.4,29,54.3333333333333,37,161.2,159.5,63.8,62.9,73.1,NA,1570,NA
"djgo",NA,NA,28,NA,NA,45,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA
"dklf",NA,24,27,NA,22.3333333333333,48.2,NA,59.6666666666667,58.6,NA,NA,NA,NA,NA,NA,NA,2065
"dl8b",24,29,32,50,30.3333333333333,46.6,36,33,46.6,170.1,171.5,68.4,69.3,102.9,82.6,2590,1300
"e4f2",24,29,32,37,38.3333333333333,53,54,49,64.2,158.2,158.4,56.9,55.6,80.7,NA,9910,18500
"e8pr",NA,NA,26,NA,NA,38.6,NA,NA,36.2,NA,NA,NA,NA,NA,NA,NA,NA
"f1o3",27,NA,NA,19,NA,NA,25,NA,NA,165.5,NA,55.1,NA,NA,NA,5520,NA
"f4vd",33,38,41,46,51.6666666666667,47.4,35,46.3333333333333,41.8,157.5,157.9,54.9,55.8,67.3,57.2,910,1250
"fc1b",23,NA,NA,14,NA,NA,16,NA,NA,158.8,NA,52.4,NA,NA,NA,3475,NA
"fdmd",25,30,33,33,35.6666666666667,45,35,46.3333333333333,45.8,159.3,158.6,62.2,59.3,85.7,NA,9985,5340
"ffwq",66,NA,NA,38,NA,NA,21,NA,NA,162.8,NA,67.9,NA,44.8,NA,735,NA
"fi25",26,31,34,22,51.6666666666667,51.4,25,33,41.8,157.7,159.1,60,59.8,74.2,81.1,6275,1800
"fuwh",47,52,55,79,70.3333333333333,68.2,78,78.3333333333333,76.2,166.4,NA,63.3,NA,91.5,NA,11800,9600
"fvrq",37,41,44,32,19.6666666666667,29,40,25,49,166.4,162.8,63.3,57.6,NA,NA,8345,6350
"fxgj",NA,NA,23,NA,NA,40.2,NA,NA,36.2,NA,NA,NA,NA,NA,NA,NA,NA
"gd1v",NA,NA,43,NA,NA,22.6,NA,NA,29.8,NA,NA,NA,NA,NA,NA,NA,NA
"gnym",47,52,47,27,38.3333333333333,36.2,18,17,29,156.8,156.6,62.4,63.3,62.7,71.2,2440,4150
"gosd",23,NA,NA,16,NA,NA,32,NA,NA,158.8,NA,62.9,NA,NA,NA,2300,NA
"gy3x",27,32,35,38,51.6666666666667,46.6,51,54.3333333333333,61,171.5,171.8,72.5,82.2,NA,96.8,3150,5500
"h5l6",41,46,49,58,59.6666666666667,26.6,66,51.6666666666667,41.8,152.2,153.8,57.5,58.3,76.3,83.9,2880,360
"h660",NA,66,NA,NA,19.6666666666667,NA,NA,9,NA,NA,149.5,NA,53.1,NA,45,NA,625
"ie1j",19,24,27,NA,46.3333333333333,41.8,NA,30.3333333333333,45.8,162.3,163.5,56,58.6,69.3,NA,1390,1025
"ihda",22,30,33,39,51.6666666666667,30.6,44,17,25,164.9,166.5,62.7,65.4,82,NA,4605,1800
"io3x",37,42,45,54,54.3333333333333,41.8,56,67.6666666666667,64.2,168,168.8,68.1,69.3,86.3,77,475,7620
"iv40",24,29,32,38,33,43.4,34,22.3333333333333,37.8,165.8,165.2,63.6,64.2,104.4,92.5,3345,NA
"ivsn",51,57,60,47,43.6666666666667,41,30,51.6666666666667,40.2,162.3,160.8,72.8,71.7,84.1,79.8,9745,15300
"j7h1",54,59,62,46,27.6666666666667,54.6,56,35.6666666666667,40.2,158.5,158.5,59.8,59.3,63.1,63.8,2555,2630
"jytb",21,26,NA,NA,27.6666666666667,NA,NA,19.6666666666667,NA,162.3,161.5,62.3,63.5,86,NA,890,2300
"kblo",45,50,53,77,70.3333333333333,80.2,80,78.3333333333333,77.8,166.3,165.6,71.5,74.1,82.8,67.2,35320,34680
"kjgy",NA,NA,23,NA,NA,28.2,NA,NA,30.6,NA,NA,NA,NA,NA,NA,NA,NA
"kpjx",25,32,35,21,19.6666666666667,17,24,14.3333333333333,21,160.8,NA,54.8,NA,69.8,NA,755,1200
"l0o6",NA,27,30,NA,NA,33.8,NA,NA,33.8,NA,164.5,NA,64,NA,116.4,NA,NA
"l56z",45,50,53,28,25,24.2,28,25,22.6,164.1,162.5,63.6,64.5,70.8,NA,1600,2100
"l95h",28,33,36,50,35.6666666666667,54.6,54,73,64.2,166.5,167,69.1,69.1,75.1,NA,2150,4500
"la6m",43,48,51,57,70.3333333333333,52.2,60,43.6666666666667,53.8,170.7,171.2,75.6,74.3,97.6,102.1,1855,3550
"lhrl",NA,22,25,NA,17,33,NA,33,45.8,NA,160,NA,61.4,NA,89.2,NA,2325
"ligb",40,45,48,72,78.3333333333333,69.8,80,81,79.4,173.1,172.9,95.1,107.4,86.4,74.9,3720,16900
"lx3h",30,35,38,67,78.3333333333333,70.6,67,78.3333333333333,78.6,170.7,171,81.3,88.6,87.4,98.1,1485,2515
"m6xf",21,26,29,NA,30.3333333333333,17.8,NA,19.6666666666667,25.8,157.4,160,57.7,60.9,NA,NA,1425,2250
"makn",NA,45,48,NA,46.3333333333333,37.8,NA,49,35.4,NA,152.6,NA,56,NA,74.5,NA,9500
"mexm",32,37,40,54,38.3333333333333,37.8,42,27.6666666666667,42.6,164.3,164.5,58.6,60.4,99.9,71.6,285,2090
"mmy6",43,48,51,56,49,62.6,57,54.3333333333333,53.8,158,158.5,58.8,57.4,105.6,84,1145,820
"n2wa",34,39,42,57,78.3333333333333,62.6,73,75.6666666666667,76.2,165,167.5,66.4,77.9,102.7,NA,2075,13400
"n39t",47,NA,NA,28,NA,NA,17,NA,NA,165.8,NA,50.6,NA,43.8,NA,1390,NA
"n8un",26,31,34,35,41,43.4,45,49,41.8,159,160.9,68,73.3,81.4,NA,13515,25350
"n8zv",24,29,32,47,51.6666666666667,64.2,58,67.6666666666667,68.2,163.4,163.5,67.9,65.1,115.5,NA,14835,5045
"n9oc",28,NA,NA,19,NA,NA,15,NA,NA,158.8,NA,52.4,NA,NA,NA,5800,NA
"nn80",NA,23,26,NA,43.6666666666667,48.2,NA,41,53,NA,164,NA,68.6,NA,84.5,NA,12350
"nupp",NA,NA,31,NA,NA,65.8,NA,NA,68.2,NA,NA,NA,NA,NA,NA,NA,NA
