id,community,age,respect,influence,height,weight,ubs
a1ev,i1az,38,39,38,159.5,53.5,85.8
ae4t,i1az,47,61,72,179.8,87.3,74.5
al0e,i1az,25,47,72,175.3,77.9,NA
b0jr,i1az,35,NA,NA,NA,NA,NA
b9r3,i1az,42,53,37,168.3,61,52.7
c0fe,i1az,56,60,60,171,60.4,61.9
c4uq,i1az,39,50,57,165,65.9,68.8
cpa0,i1az,37,37,38,162.4,65.5,73
cr6n,i1az,21,30,22,155,52.5,NA
dagl,i1az,22,27,31,156,63.3,81.9
dmye,i1az,48,NA,NA,164.3,68.2,108.8
dy12,i1az,57,29,40,154.2,63.6,87
ef3c,i1az,27,40,39,174.1,66.8,100.1
efvt,i1az,34,43,21,159,72,115.5
ev8t,i1az,36,55,58,164.3,68.4,91
fr6s,i1az,32,50,55,163.1,60.6,68.8
g0ra,i1az,29,43,55,NA,NA,NA
g5il,i1az,29,52,36,162.5,59.1,76.5
g9dc,i1az,82,36,14,158.9,57.4,NA
gcty,i1az,59,31,47,157.5,61.2,64.4
gm9l,i1az,48,36,45,160.6,62.8,97
gnpm,i1az,44,NA,NA,162.2,61.8,87.7
gtff,i1az,67,31,21,160,58.9,48.4
h2ea,i1az,45,48,59,157.7,57.5,72.2
hfy2,i1az,39,38,38,165.8,72.6,95.9
i8ke,i1az,36,43,39,159,58.5,85.1
iki9,i1az,36,34,35,163,65.4,102.2
inab,i1az,36,41,41,170.4,71.1,74.7
j8ft,i1az,61,NA,NA,167,77.6,47.8
jnza,i1az,48,51,36,168.1,67.5,83.7
jwfd,i1az,29,37,44,162.7,63.5,86.7
jwqa,i1az,32,34,43,166.7,63.1,83.7
klxi,i1az,32,NA,NA,165.9,69.8,94.5
kpft,i1az,40,64,70,168.1,67.2,78.9
l463,i1az,22,NA,NA,160.3,62.3,65.9
l5y4,i1az,36,NA,NA,NA,NA,NA
la9y,i1az,44,NA,NA,NA,NA,NA
lc05,i1az,26,NA,NA,157.9,57.2,60
lu1v,i1az,22,39,32,157.1,55.3,83.8
lxuj,i1az,29,NA,NA,163.6,57.7,92.3
m632,i1az,65,73,48,164.7,57,46.5
m9qx,i1az,54,68,46,164.3,62,57.5
mals,i1az,26,NA,NA,167.7,57.8,86.1
mp4u,i1az,41,41,32,161.2,60.6,57.5
mx22,i1az,47,56,47,155,62.7,67.1
mz10,i1az,25,48,42,165.5,68,74.6
oas7,i1az,35,37,34,170.4,66.5,84.7
owcs,i1az,74,57,60,161.6,60.8,33.8
oz3z,i1az,43,47,46,163,67,80.9
pi3m,i1az,33,43,35,169.6,61.4,97.8
pmhp,i1az,24,28,23,161.7,59.9,89.6
pn3c,i1az,33,NA,NA,161.2,58.2,54.9
q7py,i1az,36,58,45,161.7,58,70.8
rhsr,i1az,22,48,34,162.9,63.6,79.7
rrd3,i1az,27,41,62,167.5,74,103
rtnc,i1az,75,46,43,164.5,59.7,42.7
rvbr,i1az,39,54,59,162,71.2,74.5
s21m,i1az,47,51,52,169.5,82.9,75.5
s2w6,i1az,30,45,68,163.3,66.9,94.5
s94u,i1az,28,48,51,157.8,54.3,83.2
sn7t,i1az,25,33,44,171.1,65.7,93.9
tatj,i1az,42,41,54,NA,NA,NA
u16n,i1az,22,NA,NA,NA,NA,NA
ucg2,i1az,35,40,39,173.3,75.6,66.8
ufw2,i1az,69,71,48,161.8,52.3,63.1
uo7l,i1az,49,47,60,158.9,55.9,76.4
uykn,i1az,21,24,18,157.8,59.8,89.9
v37v,i1az,37,39,43,164,74,81
vfmv,i1az,24,37,49,166,63.8,90.1
vhb8,i1az,32,40,36,157.6,61.3,79.9
vqcz,i1az,32,46,36,159.6,61.7,88.4
w1q7,i1az,40,56,67,162,62.5,65
w2hk,i1az,21,NA,NA,163.5,63.9,78.3
w79j,i1az,38,69,71,170,75.9,78.2
w7no,i1az,57,76,78,170.1,72.1,55.8
wpry,i1az,45,44,39,166.5,68.7,59.6
xabx,i1az,41,33,21,162.8,53.2,54.3
xcku,i1az,34,40,74,175.5,70.1,59.9
xlbx,i1az,30,31,41,162.5,62.7,69.3
xuvw,i1az,42,41,42,164,67.8,62.6
xv23,i1az,24,36,16,170.6,68.9,75.8
y3wm,i1az,26,36,26,172,65.1,81.6
y749,i1az,36,41,51,171.2,59.2,102.4
y784,i1az,37,55,73,160.5,76.8,106.8
yjaf,i1az,35,55,63,161.1,59.9,88.4
ysfd,i1az,36,NA,NA,165.9,69.8,87.2
z99f,i1az,39,39,37,163.1,69.7,66.9
zvij,i1az,36,NA,NA,160.7,61.3,68.7
zx2j,i1az,26,47,37,169,67.6,84
