"id","internal_id","corregidor_09","corregidor_14","corregidor_17","status_09","status_14","strength_09","strength_14"
"a2dx",1,0,0,0,21.0065,22.3333333333333,1.36043775811194,2.95136873156354
"abag",2,0,0,0,54.5,55.6666666666667,25.6267377581124,21.7003687315633
"acu0",3,0,0,0,26.9365000000001,34.376,4.72600442477905,7.62103539823012
"apis",4,0,0,0,19.5,26.3333333333334,6.49340442477869,12.7670353982301
"b2vm",5,0,0,0,40.984,42.5,3.62673775811232,-2.26916460177002
"b7f3",6,0,0,0,58,57.9146666666667,-2.57326224188795,-5.7530312684365
"btdf",7,0,0,0,20,25.824,-15.1399289085543,-13.4390979351029
"bte4",8,0,0,0,33.0155,34.3333333333334,-3.519695575221,-6.84936460176982
"c9ml",9,0,0,0,44.5,37.0000000000001,-6.43992890855479,-9.19963126843668
"cmmv",10,0,0,0,36.5,34.3333333333333,-28.0732622418877,-27.2990979351032
"cne0",11,0,0,0,62,66.7573333333333,26.9600710914456,30.9490020648966
"d7g7",12,0,0,0,39.5000000000001,50.3333333333333,-4.73992890855453,-8.61009793510349
"djgo",13,0,0,0,36.2405000000001,40.8666666666667,3.5761044247787,4.97096873156324
"dklf",14,0,0,0,39.368,41,5.92027109144584,7.14670206489655
"dl8b",15,0,0,0,43,31.6666666666667,18.6934044247782,11.9003687315636
"e4f2",16,0,0,0,45.5,43.6666666666667,-12.1065955752211,-16.1450646017697
"e8pr",17,0,0,0,34.8150000000001,40.1906666666667,4.69930442477854,6.6669687315636
"f1o3",18,0,0,0,22,28.4893333333334,-7.58342890855449,-6.69703126843659
"f4vd",19,0,0,0,40.5,49,-19.273262241888,-23.6662979351034
"fc1b",20,0,0,0,15,21.12,-18.0394622418878,-12.7089979351027
"fdmd",21,0,0,0,34,41,-4.03992890855473,-10.7970312684366
"ffwq",22,0,0,0,29.5,32.06,-8.47326224188792,-10.6884979351032
"fi25",23,0,0,0,23.5,42.3333333333334,-11.673262241888,-10.4996312684364
"fuwh",24,1,0,0,78.5000000000001,74.3333333333333,6.09340442477873,0.0305687315632119
"fvrq",25,0,0,0,36,22.3333333333333,1.6410044247788,-9.45693126843664
"fxgj",26,0,0,0,30.351,38.164,5.80657109144563,10.5921020648962
"gd1v",27,0,0,0,46.8395000000001,46.6853333333334,-0.850495575221501,-2.53543126843609
"gnym",28,0,0,0,22.5,27.6666666666667,-14.0065955752216,-12.7996312684368
"gosd",29,0,0,0,24,33.636,-5.47049557522127,-4.0119312684365
"gy3x",30,0,0,0,44.5,53,20.057904424779,29.8337020648966
"h5l6",31,0,0,0,62,55.6666666666667,-18.9732622418882,-16.3662979351033
"h660",32,0,0,0,26.2335,14.3333333333333,-32.3929955752215,-38.8329646017699
"ie1j",33,0,0,0,33.1120000000001,38.3333333333333,-12.7065955752213,-6.89153126843666
"ihda",34,0,0,0,41.5,34.3333333333333,0.826737758112072,2.87170206489673
"io3x",35,0,0,0,55,61,10.7600710914455,7.33370206489681
"iv40",36,0,0,0,36,27.6666666666667,10.0934044247788,3.80036873156356
"ivsn",37,0,0,0,38.5,47.6666666666667,9.02673775811198,2.66703539822984
"j7h1",38,0,0,0,51,31.6666666666667,-14.773262241888,-17.3662979351032
"jytb",39,0,0,0,26.5825,23.6666666666667,-0.839928908554607,-1.90649793510329
"kblo",40,0,0,0,78.5,74.3333333333333,11.2934044247782,5.66703539822999
"kjgy",41,0,0,0,30.9645,38.772,1.39357109144571,5.79500206489698
"kpjx",42,0,0,0,22.5,17,-15.2399289085547,-11.56536460177
"l0o6",43,0,0,0,40.7165,42.608,6.09187109144573,10.86703539823
"l56z",44,0,0,0,28,25,-2.80659557522118,-4.66656460176993
"l95h",45,0,0,0,52,54.3333333333333,6.52673775811217,6.99663539823015
"la6m",46,0,0,0,58.5,57,24.7267377581124,23.1003687315633
"lhrl",47,0,0,0,27.5455000000001,25,-5.23512890855441,-5.29963126843655
"ligb",48,1,0,0,76,79.6666666666667,42.8934044247788,48.8337020648966
"lx3h",49,0,1,0,66.9999999999999,78.3333333333334,27.0267377581124,35.8670353982298
"m6xf",50,0,0,0,28.682,25,-11.3709955752212,-7.33573126843665
"makn",51,0,0,0,49.2980000000001,47.6666666666667,-17.3210955752209,-22.9996312684369
"mexm",52,0,0,0,48,33,2.09340442477862,-7.66629793510344
"mmy6",53,0,0,0,56.4999999999999,51.6666666666667,-2.10659557522088,-12.5329646017699
"n2wa",54,0,0,1,64.9999999999999,77,11.526737758112,16.7550353982298
"n39t",55,0,0,0,22.5,23.984,-23.1065955752212,-18.9181312684366
"n8un",56,0,0,0,40,45,0.0267377581119561,5.1634687315636
"n8zv",57,0,0,0,52.5,59.6666666666667,15.693404424779,2.85386873156321
"n9oc",58,0,0,0,17,21.944,-19.9695622418879,-14.7447312684365
"nn80",59,0,0,0,36.4705000000001,42.3333333333334,2.66277109144539,4.33370206489678
"nupp",60,0,0,0,43.198,45.2493333333334,0.0341710914451194,1.64603539823023
"nvgd",61,0,0,0,40.4545,44.064,3.5664044247787,6.02113539823013
"o6k5",62,0,0,0,35,34.1306666666667,-14.073262241888,-16.6334646017705
"o6ws",63,0,0,0,27.1075,22.3333333333333,0.979904424778574,3.47750206489687
"oacf",64,0,0,0,36.5,25,4.66007109144536,1.26703539823019
"ojq0",65,0,0,0,32.779,31.6666666666667,0.448171091445424,3.14273539823006
"op7o",66,0,0,0,40.5,48.1453333333334,12.2600710914453,8.41736873156376
"oqdr",67,0,0,0,24,26.3333333333333,-13.9065955752213,-10.6830312684365
"pdd1",68,0,0,0,57,62.3333333333333,-5.43992890855457,-7.35113126843596
"pdtp",69,0,0,0,31.428,35.9293333333333,-1.77142890855467,-2.12766460176982
"ppdq",70,0,0,0,42.9420000000001,45.324,1.85100442477881,3.88026873156339
"pwyx",71,0,0,0,71.5,78.3333333333334,31.6934044247787,40.802202064897
"q2cg",72,0,0,0,32,48.9999999999999,-0.839928908554713,-8.57763126843646
"q5z4",73,0,0,0,47.3115,53,7.53730442477885,10.9268020648966
"qdfa",74,0,0,0,52.4940000000001,47.9533333333334,-4.83706224188796,-7.11326460176973
"qhg1",75,0,0,0,34.5,58.3333333333333,9.19340442477851,15.3003687315635
"qill",76,0,0,0,53,47.6666666666666,7.20227109144536,5.73370206489658
"qkvj",77,0,0,0,21.1,15.6666666666666,-5.37649557522126,-1.76903126843681
"qs9i",78,0,0,0,34.5045,41.0653333333334,3.94553775811207,8.68180206489691
"r6o5",79,0,0,0,20.5,22.4333333333333,-12.0065955752214,-8.62159793510278
"r7sr",80,0,0,0,45,31.6666666666667,-8.60659557522103,-14.6662979351033
"r9s6",81,0,0,0,35,31.6493333333333,-18.806595575221,-19.9286312684363
"rito",82,0,0,0,26,38.3333333333333,-0.239928908554586,7.93370206489699
"s3o5",83,0,0,0,69.4999999999999,72.9999999999999,8.79340442477869,3.53370206489663
"s6bz",84,0,0,0,55.9999999999999,59.6666666666666,3.06007109144532,-0.299631268437089
"sdzh",85,0,0,0,32.6805,40.7693333333333,7.05017109144545,12.5010353982304
